,K,Metric,Descriptor,Similarity,Method,Result
54,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.57
55,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.69
56,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HellingerKernel,SPR,0.66
57,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 1,0.55
58,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 2,0.62
59,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 3,0.69
60,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,SPR,0.78
61,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 1,0.57
62,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 2,0.74
63,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 3,0.82
64,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.6
65,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.53
66,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.57
67,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.69
68,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,Bhattacharyya,SPR,0.66
69,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 1,0.55
70,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 2,0.62
71,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 3,0.69
